"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"184","All Fire","11490_31_33",0.0470386,"Western Great Plains Shortgrass Prairie",1417,14013,0,659.1519018
"185","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",1042,2326,0,11.0815292
"186","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",1142,34,0,0.1619828
"187","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",1372,3001,0,14.2973642
"188","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",1498,4840,0,23.058728
"189","All Fire","11530_20_22_29_30",0.004888,"Inter-Mountain Basins Greasewood Flat",904,11,0,0.053768
"190","All Fire","11530_20_22_29_30",0.004888,"Inter-Mountain Basins Greasewood Flat",1273,92,0,0.449696
"191","All Fire","11530_28",0.004916,"Inter-Mountain Basins Greasewood Flat",1177,98666,0.3,485.042056
"192","All Fire","11550_25",0.0044624,"North American Warm Desert Riparian Systems",1373,1873,0,8.3580752
"193","All Fire","11590_16_23_24_26",0.0166702,"Rocky Mountain Montane Riparian Systems",1043,124023,0.3,2067.4882146
"194","All Fire","11590_16_23_24_26",0.0166702,"Rocky Mountain Montane Riparian Systems",1143,359,0,5.9846018
"195","All Fire","11590_22",0.0162326,"Rocky Mountain Montane Riparian Systems",905,43789,0.1,710.8093214
"196","All Fire","11590_25",0.0162042,"Rocky Mountain Montane Riparian Systems",1374,29886,0.1,484.2787212
"197","All Fire","11590_27_33",0.0162568,"Rocky Mountain Montane Riparian Systems",1499,46781,0.1,760.5093608
"198","All Fire","11590_27_33",0.0162568,"Rocky Mountain Montane Riparian Systems",1418,1478,0,24.0275504
"199","All Fire","11590_28",0.0160768,"Rocky Mountain Montane Riparian Systems",1178,960368,2.7,15439.6442624
"200","All Fire","11590_29",0.0186046,"Rocky Mountain Montane Riparian Systems",1274,42221,0.1,785.5048166
"201","All Fire","11600_15_28",0.0163066,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",1179,465859,1.3,7596.5763694
"202","All Fire","11600_20_29",0.0066242,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",1275,19196,0.1,127.1581432
"203","All Fire","11600_23",0.0165578,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",1044,38969,0.1,645.2409082
"204","All Fire","11620_22",0.0096356,"Western Great Plains Floodplain Systems",906,96,0,0.9250176
"205","All Fire","11620_27_33",0.0374986,"Western Great Plains Floodplain Systems",1419,3061,0,114.7832146
"206","All Fire","11620_27_33",0.0374986,"Western Great Plains Floodplain Systems",1500,6035,0,226.304051
"207","All Fire","11620_29_30",0.019482,"Western Great Plains Floodplain Systems",1276,13778,0,268.422996
"208","All Fire","11660_22",0.0308542,"Middle Rocky Mountain Montane Douglas-fir Forest and Woodland",907,295,0,9.101989
"209","All Fire","11660_29",0.0542218,"Middle Rocky Mountain Montane Douglas-fir Forest and Woodland",1277,20854,0.1,1130.7414172
"210","All Fire","11791_29_30",0.057717,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland",1278,354,0,20.431818
"211","All Fire","11792_29_30",0.066872,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Savanna",1279,15819,0,1057.848168
"212","All Fire","13850_29_30",0.0527908,"Western Great Plains Wooded Draw and Ravine",1280,209,0,11.0332772
"213","All Fire","14950_27_33",0.0654144,"Western Great Plains Depressional Wetland Systems",1421,6,0,0.3924864
"214","All Fire","15030_25_27",0.0649492,"Chihuahuan Loamy Plains Desert Grassland",1375,62,0,4.0268504
"215","All Fire","15040_25_27",0.100304,"Chihuahuan-Sonoran Desert Bottomland and Swale Grassland",1376,134,0,13.440736
